str-exon	gene_name	sample_n	GT_n	p_values	slope	error	shuffled_p	shuffled_slope	shuffled_error	BF_p	FDR_p	rej	Tissue	Sample_tshld	CHROM_START	causal_STR	exon_STR	hg19_START
chr22_29967918-ENSG00000100330.15_3	MTMR3	400	12	0.2028065958792048	0.0627066188593418	0.0491493450586898	0.2547290952901375	0.060835364038355	0.053331881171862	1.0	1.0	False	Artery_Tibial	200	chr22_29967918	True	False	chr22_30363907
chr19_49525050-ENSG00000142552.7_4	RCN3	442	3	0.5978672417540938	-0.0272194210613557	0.0515640032119573	0.1753904916703034	0.074854663923102	0.0551454457850746	1.0	1.0	False	Artery_Tibial	200	chr19_49525050	True	True	chr19_50028307
chr19_49525050-ENSG00000104870.12_10	FCGRT	442	3	0.0460687386654778	-0.1067274835021057	0.0533433704837124	0.6559153922983648	0.0246863745285077	0.0553653288560139	0.1382062159964334	0.964274846261434	False	Artery_Tibial	200	chr19_49525050	True	True	chr19_50028307
chr19_49525050-ENSG00000104870.12_9	FCGRT	442	3	0.0367944996109	-0.1126049519137243	0.0537545073732837	0.3711484489796266	-0.049011947417736	0.0547439150600111	0.1471779984436003	0.9989480316154384	False	Artery_Tibial	200	chr19_49525050	True	True	chr19_50028307
chr19_49525050-ENSG00000104870.12_8	FCGRT	442	3	0.2409647060094342	-0.0488338249221099	0.041586929723311	0.5476961775923339	-0.0335044443818684	0.0556821058871155	0.9638588240377371	1.0	False	Artery_Tibial	200	chr19_49525050	True	True	chr19_50028307
chr19_49525050-ENSG00000104870.12_7	FCGRT	442	3	0.5600680689427371	0.0261113409971527	0.0447716895065242	0.5005756664825537	-0.0374407626958674	0.0555357069950951	1.0	1.0	False	Artery_Tibial	200	chr19_49525050	True	True	chr19_50028307
chr19_40795370-ENSG00000269858.5_2	EGLN2	424	8	0.3393345277242342	0.0512644160985983	0.0535883647572219	0.3426849509857688	-0.049282825892226	0.0518760925659602	1.0	1.0	False	Artery_Tibial	200	chr19_40795370	True	False	chr19_41301275
chr19_3466223-ENSG00000141905.17_12	NFIC	368	8	0.1675650313422179	0.0600178873281403	0.0433963982478704	0.4446398939026784	-0.0439073713075312	0.0573749804698407	0.3351300626844359	1.0	False	Artery_Tibial	200	chr19_3466224	True	True	chr19_3466222
chr17_81101636-ENSG00000175866.15_27	BAIAP2	411	3	0.3158584940530506	0.0521256236053458	0.0519015880531259	0.2642111731983501	0.0579972840107041	0.0518699681819228	0.3158584940530506	1.0	False	Artery_Tibial	200	chr17_81101636	True	False	chr17_79075436
chr17_81101636-ENSG00000175866.15_26	BAIAP2	422	3	0.1144768233038153	0.0806127703216005	0.0509600359581854	0.3494255087143618	-0.0476432946552455	0.0508566067996451	0.343430469911446	1.0	False	Artery_Tibial	200	chr17_81101636	True	False	chr17_79075436
chr17_81101636-ENSG00000175866.15_24	BAIAP2	435	3	0.180798688072461	0.067134658350542	0.05007834175389	0.0352518723190398	-0.105078880624621	0.049741833818137	0.5423960642173832	1.0	False	Artery_Tibial	200	chr17_81101636	True	False	chr17_79075436
chr17_81101636-ENSG00000175866.15_23	BAIAP2	435	3	0.1447845553784448	0.0731770239629852	0.0500868738775704	0.4287198509996899	-0.0394588839577931	0.0498109103188738	0.4343536661353344	1.0	False	Artery_Tibial	200	chr17_81101636	True	False	chr17_79075436
chr17_81101636-ENSG00000175866.15_22	BAIAP2	431	3	0.2861067150160274	0.0536687544220097	0.0502462600604696	0.2826255843022992	-0.0529175581986007	0.0491856365552205	0.8583201450480822	1.0	False	Artery_Tibial	200	chr17_81101636	True	False	chr17_79075436
chr17_78402398-ENSG00000087157.18_5	PGS1	393	16	0.1653747668461948	0.0651182877541639	0.0468478102960903	0.2977265625934214	0.0557698215828639	0.0534805462338709	0.4961243005385846	1.0	False	Artery_Tibial	200	chr17_78402398	True	False	chr17_76398479
chr17_78402398-ENSG00000087157.18_4	PGS1	394	16	0.7944692630448651	-0.0136619416373639	0.0524046255680289	0.1318159965305282	0.0804951236279364	0.0532958657334893	1.0	1.0	False	Artery_Tibial	200	chr17_78402398	True	False	chr17_76398479
chr17_78129115-ENSG00000141524.15_16	TMC6	359	14	0.2466272637608093	0.0591952408515551	0.0510027877764691	0.8299966269439184	0.0117332234624066	0.0546048542277485	0.7398817912824279	1.0	False	Artery_Tibial	200	chr17_78129117	True	False	chr17_76125198
chr17_40177496-ENSG00000108352.11_2	RAPGEFL1	369	4	0.2036661685259432	-0.0684749836513818	0.0537644353589788	0.7256312283507877	-0.0194114147432217	0.0552667826768498	0.8146646741037727	1.0	False	Artery_Tibial	200	chr17_40177499	False	True	chr17_38333752
chr17_40021072-ENSG00000008838.19_19	MED24	436	5	2.834741543411073e-05	0.1867445297172008	0.0441034949642597	0.9580856883040572	-0.0027420545035139	0.052142003917067	0.0001417370771705	0.0044730426315234	True	Artery_Tibial	200	chr17_40021072	True	False	chr17_38177325
chr17_39685490-ENSG00000161395.13_4	PGAP3	364	6	0.6088779478030051	0.0285160521891074	0.0556785497109321	0.9457277399799348	-0.0038056850279978	0.0558645128506228	1.0	1.0	False	Artery_Tibial	200	chr17_39685492	True	False	chr17_37841745
chr17_39685490-ENSG00000161395.13_3	PGAP3	359	6	0.1875616860943316	-0.0690507164188579	0.0522894380649737	0.7046647920421844	-0.0205423118188549	0.0541502460850369	0.3751233721886632	1.0	False	Artery_Tibial	200	chr17_39685492	True	False	chr17_37841745
chr16_88733965-ENSG00000103335.21_25	PIEZO1	425	7	0.2056141381274113	-0.0616656686890339	0.0486402867144433	0.756526131409973	0.0160010233026166	0.051573055478747	0.616842414382234	1.0	False	Artery_Tibial	200	chr16_88733965	False	True	chr16_88800373
chr16_67195891-ENSG00000205250.8_5	E2F4	432	10	0.6227736713272802	0.0272504560727667	0.0553532961849055	0.8214144091468314	0.0131025465792132	0.0580085566006603	1.0	1.0	False	Artery_Tibial	200	chr16_67195891	True	True	chr16_67229794
chr16_67195891-ENSG00000205250.8_4	E2F4	432	10	0.7641995341043996	0.0164587379245877	0.0548309180894562	0.5328278780507689	0.0363544889644138	0.058238914156915	1.0	1.0	False	Artery_Tibial	200	chr16_67195891	True	True	chr16_67229794
chr15_63071202-ENSG00000140416.19_15	TPM1	443	6	0.3637808798003013	0.023860013554492	0.0262434062441256	0.0308817256329243	0.1067009926428777	0.049262693926378	1.0	1.0	False	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr15_63071202-ENSG00000140416.19_14	TPM1	443	6	0.0317391910414223	0.0550669491653652	0.0255537299370661	0.8652585717618957	-0.0083851428212698	0.0493856500587261	0.1269567641656892	0.919038468993237	False	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr15_63071202-ENSG00000140416.19_13	TPM1	443	6	0.0032698778378291	0.1001742364479459	0.0338620164746997	0.6070684126831821	0.0255690407756573	0.049682039008293	0.0130795113513167	0.1990662969016174	False	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr15_63071202-ENSG00000140416.19_12	TPM1	443	6	0.0006955347198795	0.0896077626888534	0.0262242156940574	0.6724292520492421	-0.0208038202716377	0.0491681209267072	0.0027821388795182	0.0594446492542158	True	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr15_63071202-ENSG00000140416.19_11	TPM1	443	6	0.5684853551382205	-0.0259287917936702	0.0454302810732355	0.6957366554028261	-0.0194839194192572	0.0497860406816038	1.0	1.0	False	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr15_63071202-ENSG00000140416.19_10	TPM1	443	6	0.5591468790533797	-0.0268852304554625	0.0459906574170666	0.17616992227	0.0678608740959438	0.0500838033209063	1.0	1.0	False	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr15_63071202-ENSG00000140416.19_9	TPM1	443	6	0.263425660178434	-0.0379752289037637	0.0339111271508978	0.4051707544873888	-0.0340532428702604	0.0408670081718232	1.0	1.0	False	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr15_63071202-ENSG00000140416.19_8	TPM1	443	6	0.2376914905043112	0.045234272387346	0.0382537954554123	0.1141567303702287	0.0784096471874534	0.0495289266889704	1.0	1.0	False	Artery_Tibial	200	chr15_63071203	True	True	chr15_63363402
chr14_103425240-ENSG00000075413.17_6	MARK3	423	9	0.6700251855736088	-0.0219468978145118	0.05146641221065	0.6966304226019813	0.0199051707710427	0.0510183954543485	1.0	1.0	False	Artery_Tibial	200	chr14_103425240	True	False	chr14_103891577
chr12_123244433-ENSG00000130921.7_3	C12orf65	440	3	0.3673880268358457	0.0331453515827514	0.0367315735810482	0.5805529185638705	0.0278956681930806	0.0504429544028561	1.0	1.0	False	Artery_Tibial	200	chr12_123244433	True	False	chr12_123728980
chr12_102415239-ENSG00000017427.15_5	IGF1	436	5	0.2125007043977876	0.0587648128797367	0.0470619920386053	0.0656887386301526	-0.0909499629883192	0.0492822555907355	0.4250014087955752	1.0	False	Artery_Tibial	200	chr12_102415239	True	False	chr12_102809017
chr12_51008215-ENSG00000110911.14_11	SLC11A2	394	14	0.1060019438462683	0.0866373233663544	0.0534661198972095	0.5431310840536685	-0.032846089870857	0.0539652262948811	0.3180058315388051	1.0	False	Artery_Tibial	200	chr12_51008215	True	True	chr12_51401998
chr12_51008215-ENSG00000110911.14_10	SLC11A2	400	14	0.1628630314658465	0.0740260547488919	0.0529412004579907	0.203782778025416	0.0664295246722364	0.0521801943398728	0.4885890943975396	1.0	False	Artery_Tibial	200	chr12_51008215	True	True	chr12_51401998
chr12_51008215-ENSG00000110911.14_8	SLC11A2	398	14	0.7151626488014771	-0.0192591267047743	0.05273436758726	0.7251122001634798	0.0190313330472635	0.0540814768929043	1.0	1.0	False	Artery_Tibial	200	chr12_51008215	True	True	chr12_51401998
chr12_51008215-ENSG00000110911.14_6	SLC11A2	375	14	0.3806984019733353	-0.047496470225738	0.0541131414059009	0.0602716902505809	0.1029745766874624	0.0546303169021954	1.0	1.0	False	Artery_Tibial	200	chr12_51008215	True	True	chr12_51401998
chr11_126411153-ENSG00000110080.18_17	ST3GAL4	414	4	0.2789317029916929	0.0488883611546787	0.0450898220045043	0.6967872785091692	0.0203232314953305	0.0521173933504977	0.5578634059833858	1.0	False	Artery_Tibial	200	chr11_126411153	True	False	chr11_126281048
chr11_126411153-ENSG00000110080.18_16	ST3GAL4	414	4	0.3301802583926169	0.0405508421318724	0.0415915508993403	0.0332286206744072	-0.1084687531704133	0.0507587100545462	0.6603605167852338	1.0	False	Artery_Tibial	200	chr11_126411153	True	False	chr11_126281048
chr11_126411153-ENSG00000110080.18_13	ST3GAL4	414	4	1.3316040384402682e-14	-0.3797180877712936	0.0473868468609817	0.0111791947693726	0.128519062191402	0.0504136603676584	1.3316040384402682e-14	1.8700562896204784e-12	True	Artery_Tibial	200	chr11_126411153	True	False	chr11_126281048
chr11_126411153-ENSG00000110080.18_12	ST3GAL4	413	4	0.6506014943838764	0.0231375521890022	0.0510446703051252	0.333393014729787	0.0497108634031335	0.051326819897337	0.6506014943838764	1.0	False	Artery_Tibial	200	chr11_126411153	True	False	chr11_126281048
chr11_72759871-ENSG00000214530.8_13	STARD10	436	3	0.459133038133275	0.0340790661651351	0.0459921166548071	0.4352765038408321	-0.0384116536096664	0.0491850351025425	0.459133038133275	1.0	False	Artery_Tibial	200	chr11_72759871	True	False	chr11_72470916
chr11_72759871-ENSG00000214530.8_12	STARD10	438	3	0.4476510403338106	0.0317398153435199	0.041759301213988	0.3618507167745807	-0.0450584821852618	0.0493596217417714	0.4476510403338106	1.0	False	Artery_Tibial	200	chr11_72759871	True	False	chr11_72470916
chr11_10696219-ENSG00000072952.18_2	MRVI1	435	11	1.1830659346188529e-08	0.2302197259914583	0.0395474994154444	0.6881231325380317	0.021440074802514	0.053374791915302	3.5491978038565586e-08	2.2988682462883062e-06	True	Artery_Tibial	200	chr11_10696219	True	False	chr11_10717766
chr11_10696219-ENSG00000072952.18_3	MRVI1	435	11	0.0012663710240773	0.1453443211391582	0.0447745563705433	0.0652772244219629	0.0964214339539866	0.0521666262762627	0.0037991130722321	0.0766854304448212	True	Artery_Tibial	200	chr11_10696219	True	False	chr11_10717766
chr11_245642-ENSG00000185627.17_13	PSMD13	336	38	0.044907574552921	-0.0602580957944082	0.0299240605279953	0.7344504890316129	-0.0190917550147644	0.0562320050448599	0.2245378727646052	1.0	False	Artery_Tibial	200	chr11_245642	True	False	chr11_245642
chr11_245642-ENSG00000185627.17_12	PSMD13	336	38	0.0162515554328974	-0.0717223685129909	0.0296807654763918	0.7104194660850167	-0.0211394281272364	0.0568822595108813	0.0812577771644872	0.7152536419584041	False	Artery_Tibial	200	chr11_245642	True	False	chr11_245642
chr11_245642-ENSG00000185627.17_3	PSMD13	336	38	0.0001857561041659	-0.1723564113232212	0.0455559277839101	0.900550986524853	0.0071587626519558	0.0572389303070757	0.0011145366249955	0.0274380267457073	True	Artery_Tibial	200	chr11_245642	True	False	chr11_245642
chr11_245642-ENSG00000142082.14_1	SIRT3	335	38	0.9359552988667916	0.0043644132374545	0.0542701186403342	0.9903050879919492	0.0006814943871588	0.0560396252958244	1.0	1.0	False	Artery_Tibial	200	chr11_245642	True	False	chr11_245642
chr9_120813367-ENSG00000095261.13_10	PSMD5	398	12	0.907851360606362	0.0056101001659304	0.0484346615983893	0.4058664415764474	0.0442250452876855	0.0531462969126544	1.0	1.0	False	Artery_Tibial	200	chr9_120813371	True	False	chr9_123575649
chr6_34237683-ENSG00000186577.12_3	C6orf1	410	3	0.4124093257852957	0.0415073679011367	0.0505844103346562	0.1445950375886919	-0.0806905675803976	0.0551965680240666	1.0	1.0	False	Artery_Tibial	200	chr6_34237683	True	False	chr6_34205460
chr5_141573990-ENSG00000131504.15_8	DIAPH1	380	6	0.8240054550636059	-0.0109572065170965	0.0492322453997513	0.2616562325116651	-0.058883713279907	0.0523743826509754	1.0	1.0	False	Artery_Tibial	200	chr5_141573990	True	True	chr5_140953557
chr4_122327099-ENSG00000138688.15_68	KIAA1109	407	7	0.3721484899796875	0.0420777999043759	0.0470925884241811	0.5028425987082175	0.0345654903134634	0.0515392779826506	0.3721484899796875	1.0	False	Artery_Tibial	200	chr4_122327100	True	False	chr4_123248255
chr4_82942134-ENSG00000189308.10_6	LIN54	414	6	0.5883851358705663	0.0275233378595526	0.0508157607168276	0.8945594010119371	-0.0067750144081182	0.0510842410796109	1.0	1.0	False	Artery_Tibial	200	chr4_82942134	True	False	chr4_83863287
chr3_171780542-ENSG00000075651.15_8	PLD1	401	7	0.4571645088213059	0.032925595851245	0.0442372043438577	0.0253114422392598	0.1133294917537241	0.0504667947261775	1.0	1.0	False	Artery_Tibial	200	chr3_171780542	True	False	chr3_171498332
chr3_141987266-ENSG00000114126.17_11	TFDP2	395	11	0.1132799865045107	-0.0756084410843477	0.0476302454107261	0.4127821185565392	0.0434152581647764	0.0529494313480113	0.3398399595135323	1.0	False	Artery_Tibial	200	chr3_141987266	True	False	chr3_141706108
chr3_141987266-ENSG00000114126.17_12	TFDP2	382	11	0.0819728741694413	-0.0886467239240542	0.050820901060643	0.0166421838123165	0.1295272247137583	0.0538367596177494	0.3278914966777652	1.0	False	Artery_Tibial	200	chr3_141987266	True	False	chr3_141706108
chr3_58389659-ENSG00000168297.15_8	PXK	393	8	0.3362521442620144	-0.0470650512511817	0.0488803349844037	0.5051176670797903	0.0378671303184616	0.05676233942814	0.3362521442620144	1.0	False	Artery_Tibial	200	chr3_58389659	True	False	chr3_58375386
chr3_58389659-ENSG00000168297.15_7	PXK	369	8	0.2986761264161786	-0.0524071532410968	0.0503498941962977	0.5913350002090961	0.0306865846522085	0.0571010471627127	0.2986761264161786	1.0	False	Artery_Tibial	200	chr3_58389659	True	False	chr3_58375386
