str-gene	gene_name	sample_n	GT_n	p_values	slope	error	shuffled_p	shuffled_slope	shuffled_error	BF_p	FDR_p	rej	Tissue	Sample_tshld
chr22_41365378-ENSG00000100410.7	PHF5A	435	12	0.21735528595813847	-0.02939389912850963	0.023786296263153855	0.06752025035952583	0.10877805408567057	0.05932131732041605	1.0	1.0	False	Adipose_Subcutaneous	200
chr22_41365378-ENSG00000167074.14	TEF	435	12	0.04881459171994572	0.06423708199925224	0.032494003373661116	0.8671263798476954	-0.009742769171776716	0.05819050572632356	1.0	1.0	False	Adipose_Subcutaneous	200
chr22_41365378-ENSG00000100403.11	ZC3H7B	435	12	0.8508724342233618	-0.0034743177804751266	0.01846663913283035	0.6600233477722914	-0.025246863075618464	0.05734733845742946	1.0	1.0	False	Adipose_Subcutaneous	200
chr22_41365378-ENSG00000100401.19	RANGAP1	435	12	0.930814621810094	-0.0013677020165861124	0.015742325177346615	0.8294221632823093	-0.0123825650580628	0.05743333744583879	1.0	1.0	False	Adipose_Subcutaneous	200
chr22_37074996-ENSG00000100385.13	IL2RB	439	5	0.6734645791114167	0.00986088682686579	0.02338155005991549	0.0221085597137152	-0.11937463194842415	0.05194007881499836	1.0	1.0	False	Adipose_Subcutaneous	200
chr22_37074996-ENSG00000100379.17	KCTD17	439	5	0.900966798023452	-0.002069789697106725	0.016621249850206514	0.5447988199086488	0.03135960837981003	0.05173661013401756	1.0	1.0	False	Adipose_Subcutaneous	200
chr22_37074996-ENSG00000128309.16	MPST	439	5	0.4836869678575815	-0.009790121601132098	0.013963932943332102	0.5578923614156626	-0.030473945695952288	0.051957701187418034	1.0	1.0	False	Adipose_Subcutaneous	200
chr22_37074996-ENSG00000128311.13	TST	439	5	0.23159840735101594	0.0189630104578011	0.015825630032817915	0.18609165363649005	0.06777216656298672	0.051159480739453804	1.0	1.0	False	Adipose_Subcutaneous	200
chr20_19921845-ENSG00000173418.11	NAA20	441	11	0.18821203344848955	-0.030380469988690807	0.02304448790683368	0.28739905531163784	0.057017402483616524	0.05351777659195718	1.0	1.0	False	Adipose_Subcutaneous	200
chr20_19921845-ENSG00000132669.12	RIN2	441	11	0.7797566176927945	-0.006611044192024131	0.023624228819123908	0.9477569657512741	-0.00360727882465132	0.05501531371733402	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENSG00000105048.16	TNNT1	361	8	0.9956732395255888	-0.00033071039297503235	0.06093188404212916	0.05872414165884893	0.10200955089725802	0.05375112256849885	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENSG00000125503.12	PPP1R12C	361	8	0.8780732509339358	0.0026874040676200532	0.017501930133531452	0.5356106535081491	0.035293993329316084	0.056906377909798925	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENSG00000131037.14	EPS8L1	361	8	0.1964777897199885	0.016752815030024057	0.012939923048533723	0.2631893300645272	-0.06308044276469624	0.05626737186729037	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENSG00000160439.15	RDH13	361	8	0.0010805021053418543	-0.10723228488079477	0.03247240290152323	0.8560635729990204	0.010892125131889238	0.059994982993028224	0.04538108842435788	0.7406086250013436	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000126464.13	PRR12	441	3	0.00017180553252068814	0.06441002755683778	0.016966628822277778	0.9203896779600296	-0.005915646670147026	0.05914957006377241	0.006356804703265461	0.14438138902362352	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000126460.10	PRRG2	441	3	0.003247747004412372	0.10182427881369767	0.03436813713132168	0.9258659761218316	-0.0055669093261226325	0.05978771004988076	0.10717565114560826	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000142546.13	NOSIP	441	3	0.36127010667448334	-0.018290527025919656	0.020009564214605712	0.6567266710814488	0.025118729145142567	0.056471992958861586	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000142552.7	RCN3	441	3	0.34096045249490997	0.019883707563478847	0.020853220530764046	0.6839912420028396	0.0228781565951583	0.056163915939736235	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000104870.12	FCGRT	441	3	0.0008936117670865137	-0.0601408608946915	0.017955266868958958	0.6297695499136564	0.02814643855944319	0.058339886796465276	0.032170023615114486	0.5589021175189195	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000142534.6	RPS11	441	3	0.050105093488033874	-0.03263695174644382	0.016604547663680348	0.3252264219412031	0.058501307149740285	0.059386465946006224	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000142541.16	RPL13A	441	3	0.11706469617194913	0.021379834935716376	0.013609819375710135	0.6350064094941815	-0.02807878643747195	0.0591022066177978	1.0	1.0	False	Adipose_Subcutaneous	200
