str-exon	gene_name	sample_n	GT_n	p_values	slope	error	shuffled_p	shuffled_slope	shuffled_error	BF_p	FDR_p	rej	Tissue	Sample_tshld
chr22_29967918-ENSG00000100330.15_3	MTMR3	412	13	0.4315158574213325	-0.039740555830900484	0.05046881326657116	0.11869476511702293	0.08329726675343993	0.05326718875262676	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_55051418-ENSG00000160439.15_8	RDH13	317	8	0.4094256636811547	0.04882216185767027	0.05909947566321869	0.9804585641767828	-0.001403244038989747	0.0572398854857749	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000142552.7_4	RCN3	441	3	0.002575522292183765	-0.15864987539231495	0.052311579682864116	0.6936377281912126	0.021485321904117442	0.05450386414738079	0.012877611460918823	0.1906059350061099	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000104870.12_10	FCGRT	441	3	0.5743822487870756	-0.02377137604208117	0.04229363162751959	0.8376696961342249	-0.01105628419511597	0.05393202208543427	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000104870.12_9	FCGRT	441	3	0.7828649567755516	-0.011979011660542552	0.043438955321864176	0.0363565878463786	0.11463339824718112	0.054594140646605775	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000104870.12_8	FCGRT	441	3	0.0069911730009267	-0.09811664511820543	0.03619463689074754	0.17100728242742136	0.07502232499685976	0.0547067320093096	0.0279646920037068	0.33886446013722515	False	Adipose_Subcutaneous	200
chr19_49525050-ENSG00000104870.12_7	FCGRT	441	3	0.8075180679820069	-0.010174066043343671	0.04173375930331065	0.5891211778902814	0.029552692524792836	0.05467338958003425	1.0	1.0	False	Adipose_Subcutaneous	200
chr19_40795370-ENSG00000269858.5_2	EGLN2	426	8	0.16210537884914894	-0.0741849537361565	0.05296585378984852	0.3476384869787753	0.04735825184673461	0.05036566048525777	0.4863161365474468	1.0	False	Adipose_Subcutaneous	200
chr19_3466223-ENSG00000141905.17_12	NFIC	357	7	0.10996124248979487	0.06624822444609653	0.041335811991853925	0.026810206295994114	-0.1290698046308386	0.0580293728239498	0.2199224849795897	1.0	False	Adipose_Subcutaneous	200
chr17_81101636-ENSG00000175866.15_28	BAIAP2	440	3	0.04220018275736278	0.08696606513528649	0.04267508851921654	0.6286013674620821	-0.024432998856325317	0.050475366659298165	0.04220018275736278	0.4551758219094614	False	Adipose_Subcutaneous	200
chr17_81101636-ENSG00000175866.15_27	BAIAP2	440	3	0.5946555727199485	-0.02629058536589689	0.04937057922633209	0.7839258808519798	0.013938325955118049	0.0507984062022818	0.5946555727199485	1.0	False	Adipose_Subcutaneous	200
chr17_81101636-ENSG00000175866.15_26	BAIAP2	440	3	0.5430561705534078	-0.029965702940979017	0.04922880039262568	0.8936040353898774	0.006698580773457553	0.05005378092991816	1.0	1.0	False	Adipose_Subcutaneous	200
chr17_81101636-ENSG00000175866.15_25	BAIAP2	440	3	0.6093668801373024	-0.02522324680300866	0.049325067944556725	0.5982233125272854	0.026624246814664555	0.050485425637894425	1.0	1.0	False	Adipose_Subcutaneous	200
